@relation 'trial-weka.filters.unsupervised.attribute.Remove-R2,4,6-7,9,11,13,15,17-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C5-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-last'

@attribute Sector_score numeric
@attribute PARA_A numeric
@attribute PARA_B numeric
@attribute numbers numeric
@attribute Money_Value numeric
@attribute District numeric
@attribute LOSS_SCORE numeric
@attribute History_score numeric
@attribute Risk {0,1}

@data
59.85,0.03,0,5,1.22,2,2,2,0
59.85,0,0,5,1.2,2,4,2,1
59.85,0.01,0.11,5,1.03,2,2,2,0
59.85,0,0,5,2.86,2,2,2,0
59.85,0.03,0,5,1.55,2,2,2,0
59.85,0,0,5,2.39,2,2,2,0
59.85,0.07,0,5,10.4,2,2,2,1
59.85,0,0,5,1.3,4,2,2,1
59.85,0.31,0,5,0,2,2,2,0
59.85,0.15,0,5,0.05,2,2,2,0
59.85,0,0,5,0,2,2,2,0
59.85,0.01,0,5,0.6,2,2,2,0
59.85,0.15,0,5,0,2,2,2,0
59.85,0.2,0.28,5,0,2,2,2,0
59.85,0.06,0,5,0,2,2,2,0
59.85,0.3,0,5,0,2,2,2,0
59.85,0,0,5,0,2,2,2,0
59.85,0,0,5,0,2,2,2,0
59.85,0.29,0,5,0.04,2,2,2,0
59.85,0.48,0,5,0,2,2,2,0
59.85,0.39,0.39,5,0.17,4,2,2,1
59.85,0.21,0,5,0.33,4,2,2,1
59.85,0,0,5,0,2,2,2,0
59.85,0.42,0,5,0,4,2,2,1
59.85,0.04,0,5,0.22,2,2,2,0
59.85,0,0.22,5,0,2,2,2,0
59.85,0,0,5,0,2,2,2,0
55.57,0.29,0.39,5.5,0.05,2,2,2,1
55.57,0,1.96,5,0.4,2,2,2,1
55.57,2.24,7.26,5,0.24,2,2,2,1
55.57,0.62,0.42,5,0,2,2,2,0
55.57,1.7,5.91,5,3.68,4,2,2,1
55.57,0.95,0.72,5,0,4,2,2,1
55.57,0,0,5.5,85.05,6,2,2,1
55.57,2.59,111.9,5,8.47,6,2,2,1
55.57,6.48,43.08,5,253.12,6,2,6,1
55.57,1.2,0.54,5,0.45,2,2,2,1
55.57,0.26,0.21,5,0.05,2,2,2,0
55.57,0.7,0.19,5,0,2,2,2,0
55.57,1.59,0.13,5,0.11,2,2,2,1
55.57,0,0,5,0.02,2,2,2,0
55.57,3.14,4.97,5,6.41,2,2,4,1
55.57,0.68,1.47,5,0,2,2,2,1
55.57,0.67,1.71,5,0,2,2,2,1
55.57,2.54,5.52,5,0.49,2,2,2,1
55.57,1.84,4.25,5,0.82,2,2,2,1
55.57,0,0,5,0,2,2,2,0
55.57,3.1,4.66,5,0.59,2,2,2,1
55.57,0.79,0.46,5,0.28,2,2,2,0
55.57,0.38,0.09,5,0,2,2,2,0
55.57,2.41,4.69,5,0.25,2,2,2,1
55.57,0,0,5,0,2,2,2,0
55.57,1.26,1.58,5,6.5,2,2,2,1
55.57,0.6,0.46,5,0,2,2,2,0
55.57,1.24,2.27,5,0,6,2,2,1
55.57,0,0,5,0,6,2,2,1
55.57,0.0006,1.11,5,0,6,2,2,1
55.57,1.49,2.34,5,0.25,2,2,2,1
55.57,1.27,2,5,0.18,2,2,2,1
55.57,2.42,3.53,5,6.31,2,2,2,1
55.57,0.69,0.81,5,0,2,2,2,0
55.57,1.85,4.16,5,0.51,2,2,2,1
55.57,1.85,4.16,5,1.65,2,2,2,1
55.57,2.45,5.47,5,5.61,2,2,2,1
55.57,0.54,0.67,5,0,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,1.45,5.79,5,0.69,2,2,2,1
55.57,0.84,0,5,0,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,0.11,0,5,0,2,2,2,0
55.57,0.49,0,5,0,2,2,2,0
55.57,0.41,0,5,0,2,2,2,0
55.57,0.56,0,5,0,2,2,2,0
55.57,0.87,0,5,0.1,2,2,2,0
55.57,0.5,0,5,0,2,2,2,0
55.57,0,0,5,0.02,2,2,2,0
55.57,0.38,0.49,5,0,2,2,2,0
55.57,0,0.03,5,0,2,2,2,0
55.57,0.17,0,5,0,2,2,2,0
55.57,0.84,0,5,0,4,2,2,1
55.57,0.49,4.78,5,0,2,2,2,1
55.57,0.67,0.41,5,0.99,4,2,2,1
55.57,0.45,8.27,5,9.43,4,2,2,1
55.57,0,0,5,0,4,2,2,1
55.57,0.68,0,5,0,4,2,2,1
55.57,0.99,0,5,0,4,2,2,1
55.57,0.29,0,5,0,4,2,2,1
55.57,1.67,0,5,0.06,4,2,2,1
55.57,1.05,2.17,5,0,4,2,2,1
55.57,0.74,0,5,0,6,2,2,1
55.57,0,0,5,0,6,2,2,1
55.57,0.51,1.36,5,0,2,2,2,1
55.57,0.74,0,5,0.15,2,2,2,0
55.57,0,1.3,5,0,2,2,2,1
55.57,0.49,0,5,0,2,2,2,0
55.57,0.73,0,5,0,2,2,2,0
55.57,0.28,0.25,5,0,2,2,2,0
55.57,0.32,0,5,0,2,4,2,1
55.57,0.21,0,5,0,2,2,2,0
55.57,1.63,0,5,0,2,2,2,1
55.57,0.8,0,5,0,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,0.83,0,5,0,2,2,2,0
55.57,0.57,1.26,5,0.1,2,2,2,1
55.57,0.71,0,5,0,2,2,2,0
55.57,0.15,0,5,0,2,2,2,0
55.57,1.26,0,5,0,2,2,2,1
55.57,0,0,5,0.01,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,0.09,0,5,0,2,2,2,0
55.57,0.51,0.03,5,0,2,2,2,0
55.57,0.49,0,5,0.02,2,2,2,0
55.57,1.1,0,5,0,2,2,2,1
55.57,1.14,0,5,0,4,2,2,1
55.57,0,0,5,0,2,2,2,0
55.57,2.3,0,5,0,2,2,2,1
55.57,1.6,0.49,5,88.34,2,2,2,1
55.57,1.49,0,5,0,2,2,2,1
55.57,0.24,0,5,0,2,2,2,0
55.57,0.42,0,5,0,2,2,2,0
55.57,1.07,0.16,5,0,2,2,2,1
55.57,1.39,0,5,0,2,2,2,1
55.57,0.07,0,5,0,2,2,2,0
55.57,0.49,0.4,5,0,2,2,2,0
55.57,0.88,0.54,5,0.11,2,2,2,0
55.57,0,1.74,5,0,2,2,2,1
55.57,1.28,0,5,0.22,2,2,2,1
55.57,0,0,5,0,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,0.21,0,5,0,2,2,2,0
55.57,0.92,0,5,0,2,2,2,0
55.57,0.17,0,5,0,2,2,2,0
55.57,0.26,0.0021,5,0,2,2,2,0
55.57,0.78,0,5,0,2,2,2,0
55.57,0.98,0,5,0,2,2,2,0
55.57,0.27,0.0017,5,0,2,2,2,0
55.57,0.41,0.11,5,0,2,2,2,0
55.57,0.74,0,5,0.71,2,2,2,0
55.57,0.82,2.92,5,0,2,2,2,1
55.57,0,11.68,5,0,2,2,2,1
55.57,0.61,0,5,0,2,2,2,0
55.57,0.62,0.47,5,0.58,2,2,2,0
55.57,0,0,5,3.57,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,1.08,0,5,0,2,2,2,1
55.57,0.7,0,5,0,2,2,2,0
55.57,1.36,0,5,0,2,2,2,1
55.57,0,5.24,5,0,2,2,2,1
55.57,0.32,0.17,5,0,2,2,2,0
55.57,0.33,0.0013,5,0,2,2,2,0
55.57,1.08,0.92,5,0.04,2,2,2,1
55.57,0,0,5,0,2,2,2,0
55.57,0.6,0,5,0,2,2,2,0
55.57,0.76,0,5,0,2,2,2,0
55.57,0,2.99,5,0.06,2,2,2,1
55.57,0,0,5,0,2,2,2,0
55.57,0.49,0.28,5,0.07,2,2,2,0
55.57,0,0.81,5,0,2,2,2,0
55.57,0.41,0,5,0,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,0.82,0,5,0,2,2,2,0
55.57,0.32,0.0009,5,0,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,0,0,5,0,6,2,2,1
55.57,1.06,0.63,5,0.9,6,2,2,1
55.57,0,0,5,0,2,2,2,0
55.57,0,0,5,0.13,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,0.51,1.63,5,1.8,2,2,2,1
55.57,1.06,0,5,0,2,2,2,1
55.57,0.71,0.25,5,0,2,2,2,0
55.57,0,8.49,5,0.43,2,2,2,1
55.57,1.6,0,5,0,2,2,2,1
55.57,0.3,0.0023,5,0,2,2,2,0
55.57,0.47,0.46,5,0.42,2,2,2,0
55.57,0,0,5,0.02,2,2,2,0
55.57,1.19,0,5,0,2,2,2,1
55.57,0,1.29,5,0,2,2,2,1
55.57,0.7,0.79,5.5,1.91,2,2,2,1
55.57,0.83,0,5,0.14,2,2,2,0
55.57,0.74,0,5,2.4,2,2,2,0
55.57,0.2,0,5,0,2,2,2,0
55.57,1.4,0.06,5,0,2,2,2,1
55.57,0.4,0.0025,5,0,2,2,2,0
55.57,0.85,1,5,0.4,2,2,2,1
55.57,0,0.88,5,0.07,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,1.12,0,5,0,2,2,2,1
55.57,1.28,0,5,0,2,2,2,1
55.57,0,0,5,0,2,2,2,0
55.57,0,1.16,5,0,2,2,2,1
55.57,0.1,0,5,0,2,2,2,0
55.57,1.06,1.6,5,16.09,2,2,2,1
55.57,0.25,0.0017,5,0,2,2,2,0
55.57,0.31,0.0015,5,0,2,2,2,0
55.57,0,0,5,0,2,2,2,0
55.57,0.84,0,5,0,2,2,2,0
55.57,1.09,0,5,0,2,2,2,1
55.57,1.29,0,5,0,2,2,2,1
55.57,0.51,0.37,5,0,2,2,2,0
55.57,0.09,0,5,0,2,2,2,0
55.57,0.39,0.91,5,0,2,2,2,0
55.57,1.07,0,5,0,2,2,2,1
55.57,0,0,5,0,2,2,2,0
55.57,0.5,2.97,5,0.18,2,2,2,1
55.57,0.49,0.55,5,0,2,2,2,0
55.57,0.84,0.65,5,0,2,2,2,0
55.57,0.9,1.11,5,0,2,2,2,1
55.57,0,0,5,0,2,2,2,0
55.57,0.59,0,5,0,2,2,2,0
55.57,0.02,0,5,0,2,2,2,0
55.57,1.48,4.48,5,0,2,2,2,1
55.57,0,3.3,5,0,2,2,2,1
55.57,0.8,0.57,5,0,2,2,2,0
55.57,0.36,0.54,5,0.21,2,2,2,0
55.57,0.44,0.53,5,0,2,2,2,0
55.57,0.51,0.5,5,0.09,2,2,2,0
55.57,0.75,0.45,5,0,2,2,2,0
55.57,0.49,0.4,5,0,2,2,2,0
55.57,0.47,0.37,5,0,2,2,2,0
55.57,0.24,0.04,5,0,2,2,2,0
55.57,0.2,0,5,0,2,2,2,0
55.57,0,0,5,0.32,2,2,2,0
